"Číslo projektu","Soutěž","Komise","Navrhovatel","Uchazeč","Fakulta","Abstrakt","Klíčová slova","Trvání","Dotace","Způsobilé","Název"
"20-10019S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","RNDr. David Kopecký, Ph.D.","Ústav experimentální botaniky AV ČR, v.v.i.",,"Mezidruhová hybridizace je jeden z klíčových mechanismů speciace u rostlin. Sloučení genomů dvou různých druhů umožňuje kombinaci agronomicky významných znaků obou rodičů. Toho je hojně využíváno ve šlechtění rostlinných druhů. Rodičovské genomy zůstávají v křížencích většinou oddělené a nedochází k jejich promíchávání. Existují ale kříženci, u kterých bylo pozorováno párování rodičovských (homeologních) chromozomů během meiózy. To způsobuje přestavby v karyotypu a otevírá prostor k tzv. genomové dominanci. Bylo zjištěno, že v křížencích jílků a kostřav jsou chromozomy kostřavy v následujících generacích postupně nahrazovány chromozomy jílku. Přes značný význam pro stabilitu kříženců nejsou mechanismy tohoto jevu dosud známy. Navrhovaný projekt se zabývá výskytem, mechanismy a významem genomové dominance pro stabilitu rostlinných kříženců. Budou použity dva nezávislé modely: kříženci jílků a kostřav a kříženci cibule Allium cepa × A. roylei, u kterých bylo rovněž pozorováno homeologní párování. Studována bude také nukleolární dominance, jakožto další aspekt genomové dominance.","genomová dominance;mezidruhová hybridizace;meiotický posun;nukleolární dominance;chromozom;kříženec",3,"7359","7359","Genomová dominance jako nástroj evolučních změn u kříženců rostlin"
"20-15621S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","RNDr. Miroslav Kvasnica, Ph.D.","Ústav experimentální botaniky AV ČR, v.v.i.",,"V tomto projektu hodláme zkoumat přírodní molekuly (isoprenoidy, fenolické látky, puriny), které na základě předběžných údajů dokáží chránit poškozené neurony a mají i potenciál zvrátit degenerativní procesy. Hlavními výstupy budou vedle nových antiparkinsonik i nové modely pro studium neurodegenerativních onemocnění na úrovni molekul a buněk. Ty by měly poskytnout velké množství informací o mechanismech neurodegenerativního procesu, jakož i množství možností testování malých molekul, které tyto procesy účinně zvrátí.","přírodní látky; fenoly; isoprenoidy; neurodegenerace; antiparkinsonika; Parkinsonova choroba;",3,"8445","8445","Přírodní látky a jejich deriváty pro neuroprotektivní terapii Parkinsonovy choroby"
"20-04987S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","doc. RNDr. Jan Malínský, Ph.D.","Ústav experimentální medicíny AV ČR, v.v.i.",,"Strategie přežití hub, a to včetně patologických kmenů, je založena na jejich pružné adaptaci vůči široké škále environmentálních stresů. Četné adaptivní procesy od vnímání a signalizace stresu až po okamžité změny struktury a regulace metabolismu se dějí na eisosomech, před vyhladověním chránících mikrodoménách plasmatické membrány hub. Tyto specializované mikrodomény dynamicky vážou transportéry živin, signalizační kinázy, proteiny oxidačního stresu i hlavní exoribonukleázu kvasinek, což z eisosomů činí slibný cíl při vývoji nových fungicidů. Výčet funkcí eisosomu však ještě zdaleka není kompletní. Naše předběžná data na buňkách postrádajících eisosom ukazují změny v délce života, vakuolární morfogenezi a metabolismu lipidových kapének. S využitím geneticky přístupného modelu kvasinky jsme navrhli experimenty k objasnění molekulární podstaty této funkční multipotence eisosomu. Projekt je zaměřen na identifikaci jednotného principu v eisosomem zprostředkované regulaci různorodých, zdánlivě nesouvisejících buněčných dějů.","plasmatická membrána;membránové mikrodomény;stres;eisosome",3,"5970","5970","Úloha eisosomu v regulaci stresové odpovědi"
"20-12420S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Mgr. Martin Horák, Ph.D.","Ústav experimentální medicíny AV ČR, v.v.i.",,"N-methyl-D-aspartátové receptory (NMDAR) jsou podtypem glutamátových receptorů, které hrají důležitou roli při excitačním synaptickém přenosu v savčím mozku, ale rovněž jsou spojovány s etiologií mnoha neurodegenerativních nemocí včetně ischemie a Alzheimerovy demence. NMDAR jsou složeny z různých kombinací GluN1, GluN2 a GluN3 podjednotek, avšak není dosud plně objasněno, jakým způsobem jednotlivé podtypy NMDAR přispívají k regulaci jejich funkce a neurodegenerativních procesů. V tomto projektu budeme pomocí moderních molekulárně-biologických, biochemických, imunocytochemických a elektrofyziologických metod na unikátních myších modelech studovat, jakým způsobem i.) strukturní determinanty GluN podjednotek a ligandy NMDAR regulují dopravu NMDAR na buněčný povrch, jejich povrchovou mobilitu a stabilitu a ii.) definované podtypy NMDAR přispívají k neurodegeneraci. Tento projekt přinese detailní znalosti, které přispějí k budoucí terapii neurodegenerativních onemocnění spojovaných s NMDAR.","excitační synapse; glutamátový receptor; iontový kanál; neurodegenerace; savčí neuron; transport;",3,"12616","12652","Studium mechanizmů regulujících specifické podtypy NMDA receptorů v savčích neuronech"
"20-04465S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Mgr. Helena Fulková, Ph.D.","Ústav experimentální medicíny AV ČR, v.v.i.",,"Gamety jsou vysoce specializované buňky s velmi odlišnými parametry. Po oplození musí dojít k výrazné remodelaci hlavičky spermie tak, aby paternální genom byl v novém prostředí plně funkční. Bez tohoto kroku ztrácí vzniklé embryo svůj vývojový potenciál. Faktory nutné pro tuto remodelaci a vznik prvojader jsou soustředěny do jádra oocytu, tzv. zárodečného váčku. Nicméně, které složky konkrétně to jsou, není doposud známo.  Naše předběžné výsledky ukazují, že je to právě solubilní jaderná frakce, která je zodpovědná za prvotní remodelaci hlavičky spermie. Tato složka je také dostačující k zajištění základních funkcí prvojader, jako je např. replikace. Nesolubilní frakce není pro tyto pochody nutná. Nicméně, na rozdíl od maternálního genomu, solubilní frakce není dostačující k zajištění správné segregace paternálních chromosomů, a tedy k zajištění plné vývojové schopnosti paternálního genomu. Tento projekt je zaměřen na charakterizaci esenciálních komponentů nesolubilní jaderné frakce, které jsou nutné k zajištění normálního vývoje embrya, a mechanismu jejich působení.","Vejce;oocyt;spermie;zárodečný váček;selektivní enukleace;vývojový potenciál",3,"6645","6645","Charakterizace faktorů esenciálních pro úspěšnou remodelaci spermie po oplození"
"20-23787X","EXPRO - 2020","EXPRO","prof. Ing. Jiří Homola, CSc., DSc.","Ústav fotoniky a elektroniky AV ČR, v.v.i.",,"Pochopení života na molekulární a buněčné úrovni představuje významnou výzvu pro moderní vědu s důležitými implikacemi pro vývoj nových léčiv či nových diagnostických a terapeutických nástrojů. Vývoj metod, které umožní studovat biomolekuly a buňky a jejich vzájemné interakce, je proto důležitým úkolem. Cílem tohoto projektu je vyvinout novou generaci biofotonických nástrojů, které umožní studium buněk a buněčných procesů, především buněčnou sekreci a interakce mezi buňkami a biomolekulami, bez použití značek a s vysokým časo-prostorovým rozlišením. Tyto nové nástroje v sobě budou kombinovat pokroky z řady oblastí, jako jsou fotonické a plasmonické nanostruktury, zobrazování a mikroskopie povrchových plasmonů a mikro/nano-fluidika. Realizované nástroje budou využity pro získání nových poznatků o buňkách a buněčných procesech, především těch, které mají vztah k onko-hematologickým onemocněním, jako jsou myelodysplastický syndrom a akutní myeloidní leukemie.","biofotonika; optické biosenzory; povrchové plasmony; plasmonika; nanostruktury; mikrofluidika",5,"49992","52712","Nové biofotonické nástroje pro studium buněčných procesů"
"20-24366S","Standardní projekty – 2020","Oborová komise technických věd","Mgr. Roman Jackiv, Ph.D.","Ústav fotoniky a elektroniky AV ČR, v.v.i.",,"Unikátní vlastnosti přechodu grafen-polovodič nabízí velkou příležitost ke studiu nových fundamentálních jevů odehrávajících se na rozhraní mezi dvoudimenzionálním (2D) polokovem a třídimenzionálním (3D) objemovým polovodičem a činí tento přechod vysoce atraktivním pro novou generaci součástek na bázi grafenu. Jedním z klíčových problémů v těchto přechodech je pochopení mechanizmů transportu náboje. Zaměřujeme se na systematickou analýzu mechanizmů transportu náboje v přechodech 3D polovodičových oxidů (Ga2O3 and ZnO) s 2D grafenem. Dále se pokoušíme detailně pochopit, jakým způsobem ovlivňuje interakce mezi grafenem a různými krystalografickými plochami polovodičových oxidů transport náboje. Cíle projektu představují velkou výzvu s řadou potenciálních aplikací zejména ve fotodetektorech, solárních článcích a detektorech záření.","Schottky hopřechod;transport náboje; grafen; oxid gallitý; oxid zinku;",3,"4869","4869","Studium mechanizmů transportu náboje přechodu grafen-polovodič"
"20-06873X","EXPRO - 2020","EXPRO","Ing. Michal Cifra, Ph.D.","Ústav fotoniky a elektroniky AV ČR, v.v.i.",,"Proteiny jsou přirozené nanopřístroje s obrovským potenciálem pro nanotechnologii. Pro efektivní využití v nanotechnologii je ale potřeba funkci proteinů řídit, což se typicky realizuje chemickými modifikacemi. Tato metoda řízení je ovšem velmi těžkopádná a náročná. 
V tomto projektu navrhujeme modulaci funkce proteinů skrze vazbu subTHz pulzů na proteinové subTHz vibrační módy, na kterých je funkční dynamika proteinů postavena. K tomuto účelu navrhneme, vyrobíme a ověříme unikátní subTHz chipová zařízení, které budou využívat pokročilé elektromagnetické koncepty k zesílení interakce mezi subTHz pulzy a proteiny, a také umožní monitorování vlivu pulzů na činnost proteinových nanopřístrojů pomocí ultra-rychlé super-rozlišovací mikroskopie. 
Tento projekt přinese pokročilé elektromagnetické nástroje a zařízení umožňující subTHz elektromagnetické řízení proteinových nanopřístrojů. Předpokládáme průlomový dopad na nanotechnologii, založený na nových možnostech interakce mezi elektromagnetickou vlnou a hmotou na nanoskopické úrovni.","THz biochipy;elektromagnetismus;tubulin;motorové proteiny;nanopřístroje;nanotechnologie;vibrační módy",5,"47773","51036","SubTHz chipová zařízení pro řízení proteinových nanopřístrojů"
"20-01589S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","prof. Dr. Ing. Tomáš Navrátil, Ph.D.","Ústav fyzikální chemie J. Heyrovského AV ČR, v.v.i.",,"Budou vyvinuty nové elektrochemické senzory, biosenzory a detektory použitelné pro stanovení a sledování přeměn biologicky aktivních látek (léčiva, fytohormony, pesticidy, biomarkery aj.). Výzkum netradičních elektrodových materiálů (odvozených např. od borem dopovaného diamantu, amalgámů, uhlíkových a kovových nanostrukturovaných materiálů) bude zaměřen na zlepšení jejich vlastností modifikací kovovými a uhlíkovými nanomateriály, chemickou modifikací organickými molekulami, biomolekulami nebo polymery, a elektrochemickou předúpravou jejich povrchu. Budou vyvíjeny tištěné elektrody na bázi modifikovaných inkoustů a 3D tištěné elektrochemické cely se zabudovaným elektrodovým systémem umožňující propojení s dalšími technikami (např. hmotnostní spektrometrií). Ke zvýšení citlivosti a selektivity budou nové elektrodové materiály kombinovány s biologickými rozpoznávacími principy, nanostrukturovanými „smart“ povrchy a s předběžnou separací/prekoncentrací využívající polymerní membrány.","Netradiční elektrodové materiály;Elektrochemie;Modifikace;Biosenzory;3D tisk;Sítotiskové elektrody; Borem dopované diamantové elektrody; Amalgámové elektrody;Rozhraní kapalina-kapalina;Biologicky aktivní látky.",3,"12585","12585","Nové strategie pro zlepšení senzorových vlastností nových elektrodových materiálů prostřednictvím jejich předúpravy či modifikace povrchu"
"20-03564S","Standardní projekty – 2020","Oborová komise technických věd","RNDr. Markéta Zukalová, Ph.D.","Ústav fyzikální chemie J. Heyrovského AV ČR, v.v.i.",,"Projekt Nové hostitelské materiály a struktury pro pokročilé baterie lithium-síra je zaměřen na přípravu elektronově vodivých hostitelských materiálů na bázi nanokrystalických porézních oxidů, ternárních oxidů a nitridů přechodných kovů s morfologií, umožňující ukládání síry a poskytující prostor pro objemovou expanzi provázející elektrochemické reakce na katodě. Připravené hostitelské materiály budou vykazovat vysokou vodivost pro Li+ a schopnost efektivně adsorbovat polysulfidy Li. K jejich přípravě budou použity metody srážecí, hydrotermální či v pevné fázi. Finální kompozit se sírou, připravený solvotermálně, mletím, chemickou koprecipitací či difúzí v tavenině bude charakterizován rentgenovou difrakcí, elektronovou mikroskopií, adsorpčními a elektrochemickými metodami. Korelace složení, struktury a morfologie hostitelského materiálu s elektrochemickým chováním kompozitu a objasnění vzájemných interakcí jednotlivých komponent umožní připravit optimální hostitelský materiál pro katodu baterií Li-S s vysokou nábojovou kapacitou a excelentní cyklickou stabilitou.","hostitelské materiály;nanomateriály;nábojová kapacita;baterie lithium-síra;porozita;Li-S",3,"6425","6500","Nové hostitelské materiály a struktury pro pokročilé  baterie lithium-síra"
"20-11460S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Mgr. Juraj Fedor, Ph.D.","Ústav fyzikální chemie J. Heyrovského AV ČR, v.v.i.",,"Experimentální projekt je zaměřen na charakterizaci pohybu atomových jader v molekulách, který je iniciován dočasným záchytem elektronu, t.j. tvorbou rezonance. Toho dosáhneme monitorováním jejich dvou rozpadových kanálů: samoodtrhnutí elektronu a disociativního elektronového záchytu (DEA). První z těchto kanálů nese informace o počáteční fázi pohybu jader, a bude zkoumán metodou dvourozměrné elektronové spektroskopie a měřením úhlových rozdělení rozptýlených elektronů. Druhý kanál nese informace o konečné fázi pohybu a bude zkoumán hlavně metodou zobrazováním hybnosti DEA fragmentů. Postavíme supersonický zdroj pro přípravu studených molekul, abychom mohli charakterizovat procesy při kterých se do fragmentů uvolňuje malé množství energie. To se týče hlavně DEA disociace vodíkového atomu, kterého mechanismus je dosud předmětem intenzivních debat. V druhé fázi rozšíříme experimenty o mikrohydratované systémy, přičemž se zaměříme na změny způsobené přítomností několika molekul vody.","elektronový rozptyl;vibrační excitace;disociativní záchyt elektronu;molekulární paprsky;zobrazování mapováním rychlostí;;;",3,"7942","7990","Dynamika pohybu jader indukovaného elektrony v studených molekulach"
"20-08633X","EXPRO - 2020","EXPRO","RNDr. Ing. Martin Kalbáč, Ph.D.","Ústav fyzikální chemie J. Heyrovského AV ČR, v.v.i.",,"Ultimátním cílem projektu ÅRTdECO je absolutní propojení fyzikálních a chemických principů, které povedou k přelomovým opto-elektronickým konceptům v atomárně tenkých dvou-dimenzionálních (2D) krystalech. Zformulujeme platformy založené na ultra-čistých 2D mřížkách obsahujících několik sobě vlastních chirálních entit indukovaných geometrií a Berryho fází, které umožní chirální selektivitu a dynamickou kontrolu optické odezvy na dálku. Pseudo-spinově selektivní populace excitonů a superradiance budou kontrolovány elektrochemicky řízením koncentrace nosičů náboje. Selektivní interakce chirálních species s 2D materiály bude zajištěna magnetickými substráty, což povede ke vzniku chirálních chemických anologů van der Waalsových heterostruktur.  Možnosti (elektro)chemické kontroly budou významně rozšířeny transferem experimentálních postupů do podmínek ultravysokého vakua. Navržená výzkumná strategie reflektuje témata běžících technologických výzev (flagships) podporovaných EU. Výstupy projektu mají velký potenciál pro využití v nanoelektronice, kvantové informatice a umělé inteligenci.","Nové materiály;Modifikace povrchů;Optoelektronika;Chiralita",5,"49064","49064","ÅrchitektRonika dvoudimenzionálních krystalů se synergií chirálních elektrochemických a optoelektronických konceptů na Å- škále"
"20-07350S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","RNDr. Jan Langmaier, CSc.","Ústav fyzikální chemie J. Heyrovského AV ČR, v.v.i.",,"Projekt bude zaměřen na kinetiku a termodynamiku přenosu vybraných antipsychotik, antidepresiv a analgetik v jejich iontové formě přes polarizovaná rozhraní kapalina-kapalina a kapalné membrány reprezentující modelové biologické bariéry, a na vývoj jejich ampérometrických iontově selektivních elektrod založených na této metodologii. Pozornost bude věnována studiu elektrochemicky indukovanému přenosu nabitých látek z polárního hydrofilního (pufrovaného) prostředí (simulujícího krev, plazmu a další buněčné systémy) do hydrofobního (lipofilního) prostředí (simulujícího látkové nosiče, biologické fosfolipidové membrány) a naopak. K vyhodnocení lipofilicity látek v iontové i neutrální formě, odhadu jejich distribučních a partičních koeficientů a disociačních konstant bude použita voltametrie přenosu iontů.  To přispěje k hlubšímu porozumění kontrolovaného uvolňování studovaných látek z jejich nosičů. Vyvinuté senzory budou současně použity pro paralelní výzkum jejich metabolických proměn.","Voltametrie přenosu iontů;Iontové kapaliny;Rozhraní kapalina-kapalina;Modelové biologické bariéry;Návykové látky;Psychotropní látky;Lipofilicita;Reační kinetika;Kinetika transportu;Elektrochemická detekce",3,"9499","9499","Elektrochemické a analytické aspekty transportu návykových a psychotropních látek přes modelové biologické bariery"
"20-01401J","Mezinárodní projekty – 2020","Oborová komise věd o neživé přírodě","RNDr. Radek Šachl, Ph.D.","Ústav fyzikální chemie J. Heyrovského AV ČR, v.v.i.",,"Fibroblastový růstový faktor 2 je protein zprostředkovávající angiogenezi indikovanou nádorem. Na rozdíl od většiny extracelulárně lokalizovaných proteinů je FGF2 vylučován z buněk přímou translokací proteinu přes plazmatickou membránu. Poslední důkazy naznačují, že FGF2 oligomery vložené do membrán v ní tvoří lipidové póry, jež představují klíčové meziprodukty tohoto procesu. V tomto projektu navazujeme na naši předchozí práci a zaměřujeme se na stanovení přesné velikosti oligomerů FGF2, analýzu potenciální úlohy proteinu ATP1A1 při iniciaci oligomerizace FGF2 a studium úlohy sulfátů heparanu při usnadnění tvorby meziproduktů translokace FGF2. Budeme používat nejmodernější techniky založené na detekci jednotlivých molekul a očekáváme, že se nám podaří získat detailní molekulární pohled na mechanismus translokace FGF2 přes membránu. Naše studie tak může významně přispět k pochopení molekulárního mechanismu, kterým nádorové buňky vylučují FGF2.","nekonvenční sekrece proteinů;fluorescenční spektroskopie jednotlivých molekul;FCS;protein-membránové interakce;lipidové membrány;liposomy;póry",3,"4623","4953","Studium vztahu struktury a funkce FGF2 oligomerů tvořících membránové póry technikami zaměřenými na sledování jedné molekuly"
"20-09671S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Ing. Ivana Kolmašová, Ph.D","Ústav fyziky atmosféry AV ČR, v. v. i.",,"V rámci navrhovaného projektu se budeme věnovat analýzám měření elektromagnetických signálů vyzařovaných vnitrooblakovými bouřkovými procesy a jejich modelováním. Zaměříme se na  studium vlastností neobvyklých zimních bouřek a na iniciaci bleskových výbojů s velkým špičkovým proudem. Dále budeme studovat přechodné světelné jevy objevující se nad bouřkovými oblaky v přímé návaznosti na bleskové výboje a na efekty pozorované v souvislosti s bleskovými výboji v ionosféře a vnitřní magnetosféře. K měření  signálů vyzařovaných vnitrooblakovými proudy použijeme existující přístrojové vybavení, které v současné době provozujeme na pěti místech v Evropě. Pro určení vlivu bleskových výbojů na ionosféru a magnetosféru použijeme družicová měření; a to především data z přístroje IME-HF družice TARANIS, která  bude vypuštěna v prvním čtvrtletí 2020. Použijeme také existující data z družic DEMETER, Cluster a Van Allen Probes. Navrhovaný projekt  bude částečně  navazovat na končící grant 17-07027S (2017- 2019).","bleskový výboj; atmosféra; ionosféra; magnetosféra",3,"7869","8211","Výzkum bleskových výbojů na velkých i malých škálách"
"20-28560S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","doc. RNDr. Jan Kyselý, Ph.D.","Ústav fyziky atmosféry AV ČR, v. v. i.",,"Klimatické extrémy jsou spojeny s velkými dopady na společnost a přírodní prostředí, a četnost některých extrémů se zvýšila a/nebo se očekává jejich zvýšení v budoucím klimatu. Důležité je lepší pochopení fyzikálních mechanismů vedoucích k extrémům a jejich vzájemných vztahů, včetně jejich zachycení klimatickými modely. Projekt se zabývá primárně teplotními extrémy v Evropě, se zaměřením na teplou část roku. Hlavní cíle jsou (i) zhodnotit úlohu cirkulačně-podmíněných a dalších řídících mechanismů pro rozvoj teplotních extrémů a podporu jejich trvání v pozorovaných datech a reanalýze ERA5, včetně studia vztahů k extrémům srážek a dalších proměnných, (ii) analyzovat prostorové vzory rozdílů mezi jednotlivými řídícími mechanismy (advekční a radiační faktory, faktory související s vlastnostmi zemského povrchu) v hlavních evropských regionech, a (iii) vyhodnotit schopnosti současných klimatických modelů reprodukovat řídící mechanismy extrémů a jejich prostorové vzory. To představuje důležitý krok směrem k lepšímu porozumění věrohodnosti výstupů klimatických modelů.","klimatické extrémy;reanalýza;klimatický model;CORDEX;teplota vzduchu;atmosférická cirkulace;proměnlivost klimatu",3,"6883","6883","Řídící mechanismy extrémů v reanalýze a klimatických modelech"
"20-06802L","Lead Agency - 2020","kontrola","Dr. Ulrich Taubenschuss","Ústav fyziky atmosféry AV ČR, v. v. i.",,"Předmětem tohoto rakousko-českého projektu je výzkum jemné struktury ve spektru planetárních rádiových emisí na základě dat ze tří různých planet a družic: z družic Cluster na oběžné dráze Země, měření sondy Cassini ze Saturnu a sondy Juno z magnetosféry Jupiteru. Studovat budeme aurorální kilometrické záření, které je na zemi pozorovatelné na frekvencích stovek kilohertzů na družicích nad aurorální oblastí. Podobné rádiové vlny generované cyklotronovou nestabilitou jsou pozorovány i na Saturnu  a Jupiteru, ovšem s odlišnými vlastnostmi. Pozorovaná spektra vykazují složitou vnitřní strukturu jejíž vznik není dosud uspokojivě vysvětlen. V rámci projektu budeme analyzovat měření elektromagnetických vln pořízená zmiňovanými sondami. Hlavním cílem bude úplná charakterizace jemné spektrální struktury těchto emisí. S použitím několika metod analýzy dat, jako je triangulace a detekce směru rádiových zdrojů, fázová interferometrie mezi družicemi a korelační analýza, najdeme souvislost mezi nelineárními vlastnostmi pozorovaných spekter a pohybem zdrojů rádiových vln.","rádiové emise;plazmové vlny;aurorální kilometrické zářeni;kilometrické záření Saturnu;Jupiter;Saturn",3,"5118","5118","Analýza jemné struktury aurorálních rádiových emisí"
"20-20873S","Standardní projekty – 2020","Oborová komise technických věd","Ing. Hynek Hadraba, Ph.D.","Ústav fyziky materiálů AV ČR, v.v.i.",,"Feritické 9–16% Cr ODS oceli jsou kandidátním strukturním materiálem budoucích fúzních a štěpných reaktorů. Agresivní prostředí těžkých kapalných kovů (Pb, PbLi), plánovaných jako chladicí média těchto reaktorů, klade na tyto oceli zvýšené nároky. Dosavadní strategie samovolné pasivace povrchu oceli, založená na tvorbě Cr oxidu v kapalných kovech obohacených kyslíkem, selhává pro chladiva PbLi, protože Li vykazuje vyšší afinitu ke kyslíku než Cr. V projektu bude vyvinuta nová generace ODS ocelí, zpevněných komplexními oxidy (umožňující např. kontrolu velikosti zrna oceli nebo příspěvku disperzního zpevnění k mezi kluzu oceli). Dále budou vyvinuty ochranné povlaky ocelí na bázi málo rozpustných tvrdých kovů. Bude zkoumána expozice oceli v kapalném Pb/PbLi při vysokých teplotách, simulujících dlouhodobé působení v pracovním prostředí. Cílem projektu je pochopit proces stárnutí a degradace těchto ODS ocelí a jejich ochranného povlaku v kapalných médiích Pb/PbLi a navrhnout směr dalšího vývoje vysoce odolných ODS ocelí.","ODS ocel; olovo; olovo-lithium; korozní odolnost;rozpouštění; povlakování",3,"10047","10631","Vývoj ODS ocelí odolných účinkům tekutých kovů pro využití v nových systémech v oblasti jaderného štěpení i fúze"
"20-00761S","Standardní projekty – 2020","Oborová komise technických věd","doc. Ing. Stanislav Seitl, Ph.D.","Ústav fyziky materiálů AV ČR, v.v.i.",,"V rámci řešení projektu budou získány nové poznatky o materiálových vlastnostech a spolehlivosti nosných mostních konstrukcí vyrobených z korozivzdorné oceli. Mezní stavy budou analyzovány s použitím numerických modelů založených převážně na nelineární metodě konečných prvků. Vstupními parametry výpočtových modelů budou reálné materiálové chrakteristiky obdržené z experimentů a zpracované do histogramů. Životnost mostních prvků bude teoreticky zkoumána s užitím lineární lomové mechaniky a geometrických funkcí zpracovaných s užitím únavových experimentů v laboratoři. Analýza spolehlivosti bude zahrnovat statistickou, citlivostní a pravděpodobnostní analýzu. Zajímavá zjištění lze očekávat u velmi štíhlých prvků s imperfekcemi, které obecně mohou mít vyšší napjatost, nižší odolnost a rychlejší únavovou degradaci v porovnání s pruty z uhlíkaté oceli. Zcela nové poznatky jsou očekávány od laboratorních experimentů zkoumajících únavové degradační procesy, které ještě nebyly pozorovány u existujících mostů, které jsou na začátku svého životního cyklu.","stavební materiál;korozivzdorná ocel;pevnost;experimentální výzkum;most;stabilita;vzpěr;spolehlivost;životnost;",3,"9637","9637","Vliv materiálových vlastností korozivzdorných ocelí na spolehlivost mostních konstrukcí"
"20-28161S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Priv. Doz. Dr. David Tskhakaya","Ústav fyziky plazmatu AV ČR, v. v. i.",,"Jedním z klíčových témat celosvětového výzkumu fúze s magnetickým udržením je pochopení vlastností okrajového plazmatu. Mezi běžné nástroje používané při studiu této problematiky patří numerické tekutinové modely, které ale samy o sobě nepostihují kinetické efekty pozorované na úrovni jednotlivých částic. Jak bylo v posledních letech prokázáno, tyto vlivy není možné zanedbat, protože často přímo ovlivňují hlavní parametry okrajového plazmatu. Záměrem navrhovaného projektu je vyvinout plně kinetický model okrajové vrstvy plazmatu v tokamacích COMPASS a COMPASS-U, který umožní self-konzistentní výzkum jejích základních parametrů. Tento model pomůže podrobněji vysvětlit pozorování učiněná na tokamaku COMPASS a také provádět prediktivní modelování okrajové vrstvy na tokamaku COMPASS-U. Výsledky získané za pomoci nového modelu přinesou hlubší pochopení rozmanitých procesů probíhajících v této oblasti plazmatu a v optimalizaci parametrů budoucích experimentů na tokamaku COMPASS-U. Provedená studie takto přímo přispěje k vývoji další generace fúzních zařízení s magnetickým udržením.","tokamak;PIC simulace;okraj plazmatu;plazmatické sondy;divertor",3,"7956","7956","Kinetická studie okrajového plazmatu v tokamacích COMPASS a COMPASS-U"
"20-21179S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Ing. Miroslav Krůs","Ústav fyziky plazmatu AV ČR, v. v. i.",,"Tento mezioborový projekt studuje základní kvantové procesy v atomech vázaných s XUV
laserovými impulzy na časových škálách od femtosekund po pikosekundy. Cílem tohoto
projektu je unikátní experimentální pozorování nehermitovských degenerací (tzv. zvláštních
bodů) v atomové fyzice; o aktuálnosti tématu svědčí alespoň 6 článků v Nature za posledních několik let studující zvláštní body ve vlnovodech. Tyto body se vyskytují na prostoru parametrů
nehermitovských kvantových Hamiltoniánů. V několika minulých desetiletí se ukázalo, že
zvláštní body hrají důležitou roli v nehermitovské fyzice od optiky přes atomovou po jadernou
fyziku, v kvantových fázových přechodech a kvantovém chaosu. V rámci tohoto projektu také
navíc očekáváme, zejména z hlediska experimentálního a přístrojového, výraznou stabilizaci
oscilátoru (vysoce zchlazený) širokospektrálního laseru a dokonce celého zesilovacího řetězce
pro velice přesné měření, jež je nutné pro rozlišení a pozorování zvláštních bodů.","zvláštní body;nehermitovská kvantová fyzika;XUV laserové impulzy;XUV spektrometrie;viditelná spektrometrie;elektronová spektrometrie;femtosekundové lasery;",3,"11093","11093","Studium nehermitovských degenerací (tzv. zvláštních bodů) v atomové fyzice prostřednictvím XUV laserových impulzů"
"20-06825S","Standardní projekty – 2020","Oborová komise technických věd","prof. RNDr. Ivo Nezbeda, DrSc.","Ústav chemických procesů AV ČR, v.v.i.",,"Problém separace azeotropních směsí azotropickou nebo extraktivní destilací je v projektu řešený experimentálně a teoreticky. Jako alternativa k obvyklým organickým rozpouštědlům, se nedávno objevily iontové kapaliny jako vhodná a k životnímu prostředí šetrná činidla. Modelování pomocí počítačových simulací umožňuje nalezení optimálních podmínek pro separační proces s iontovou kapalinou, která štěpí azeotrop. Studované soustavy zahrnují směsi voda + alkohol s iontovými kapalinami mající kationt v homologické řadě 1-alkyl-3-methyl imidazolium. Získaná experimentální data budou využita jak pro testování teoretických modelů tak k rozšíření předpovědních metod založených na principu skupinových příspěvků.","azeotropické směsi;štěpení azeotropu;iontové kapaliny;rovnováha kapalina-pára;rovnováha kapalina-kapalina;teoretické modelování;směs voda-alkohol;",3,"6570","6570","Využití iontových kapalin k dělení azeotropních směsí: Experiment, simulace a modelování"
